2026-06-20 19:13:45 | exchange
2026-06-20 19:14:28 | exchange
2026-06-20 19:17:20 | exchange
2026-06-20 19:17:37 | exchange 2
2026-06-20 19:18:33 | exchange
2026-06-20 19:18:41 | exchange 3
2026-06-20 19:24:04 | exchange PLN
2026-06-20 19:24:37 | exchange RUD
2026-06-20 19:25:38 | exchange xvdv\
2026-06-20 19:34:43 | exchange 2 
2026-06-20 19:34:52 | exchange yo
2026-06-20 19:35:19 | exchange dffd
2026-06-20 19:36:06 | exchange 3sdsd
2026-06-20 19:37:07 | exchange 3 PLN
2026-06-20 19:37:21 | exchange 3 PLN
2026-06-20 19:42:25 | exchange ddsdss
2026-06-20 19:43:48 | exchange fffd
2026-06-20 19:44:01 | exchange dfdf
2026-06-20 19:54:04 | exchange 3sdsd
2026-06-20 19:56:17 | exchange 3sdsd
2026-06-20 19:56:42 | exchange 3sdsd
2026-06-20 19:56:54 | exchange 3sdsd
2026-06-20 19:57:00 | exchange dsdffs
2026-06-20 20:04:16 | exchange 3sdsd
2026-06-20 20:04:38 | exchange 3 PLN
2026-06-20 20:05:09 | exchange 5 PLN
2026-06-20 20:05:24 | exchange 3
2026-06-20 20:05:33 | exchange 3sdsd
2026-06-21 13:03:48 | exchange
2026-06-21 13:12:58 | exchange 3sdsd
2026-06-21 13:13:56 | exchange 3dffdd
2026-06-21 13:20:29 | exchange 3DSDD
2026-06-21 13:20:41 | exchange 3dssdsd
2026-06-21 13:27:13 | exchange 3
2026-06-21 13:27:29 | exchange 3 PLN
2026-06-21 13:27:36 | exchange 1
2026-06-21 13:27:47 | exchange
2026-06-21 13:28:40 | exchange 2
2026-06-21 13:29:03 | exchange 2 UAH
2026-06-21 13:29:20 | exchange 3 dfdfdf
2026-06-21 13:49:45 | exchange 3 pln
2026-06-21 13:50:03 | exchange 3 dssd
2026-06-21 13:55:18 | exchange 3 ddd
2026-06-21 13:56:13 | exchange 3 PLN
2026-06-21 14:02:22 | exchange 1 XAU
2026-06-21 14:02:47 | exchange 3 XAG
2026-06-21 14:03:02 | exchange 1 UZS
2026-06-21 14:03:32 | exchange 3 UZS
2026-06-21 14:05:48 | exchange 3 BYN
2026-06-21 14:06:01 | exchange 3 PLN
2026-06-21 14:15:26 | exchange 3 UZS
2026-06-21 14:15:46 | exchange 3 PLN UAH
2026-06-21 14:16:05 | exchange 1 PLN UAH
2026-06-21 14:16:20 | exchange 1 PLN UAH
2026-06-21 14:16:29 | exchange 3 UAH
2026-06-21 14:16:47 | exchange 1 SEK
2026-06-21 14:17:02 | exchange
2026-06-21 14:17:17 | exchange 1 jpy
2026-06-21 14:18:03 | exchange 1 BYN
2026-06-21 14:18:11 | exchange 1 byn
2026-06-21 14:31:41 | exchange 1 XAU BYN GBP
2026-06-21 14:32:11 | exchange 1 XAG BYN GBP
2026-06-21 14:35:11 | exchange 10
2026-06-21 14:39:09 | exchange
2026-06-21 14:41:43 | exchange 1 XAU BYN GBP
